,,,,(NAICS),,,,,,,,
,,8742,541613,Marketing Consulting Services (NAICS),8742,8742,951,8742,8742,8742,951,8742
,,Var.,541614,"Process, Physical Distribution, and Logistics",8742,8742,951,8742,8742,8742,951,8742
,,,,Consulting Services (NAICS),,,,,,,,
,,Var.,541690,Scientific and Technical Consulting Services,8742,8742,951,8742,8742,8742,951,8742
,,,,NOC (NAICS),,,,,,,,
Contact Lenses Mfg.,51960,3851,339115,Lens Mfg.--Ground (Contact Lens),4150,4150,487,4150,4150,4150,487,4150
Contractors,94444,N/A,238990,Specialty Trade Contractors NOC (NAICS),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Contractors Equipment Dealers--Ladders,
Excluding Hoists, Scaffolds or Towers",11203,7353,532412,"Contractors Equipment Dealers--Ladders,
Excluding Hoists, Scaffolds or Towers (CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment Dealers--Ladders,
Hoists, Scaffolds or Towers",11204,7353,532412,"Contractors Equipment Dealers--Ladders,
Hoists, Scaffolds or Towers (CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment--Cranes, Derricks,
Power Shovels and Equipment Incidental
Thereto--Rented to Others with Operators",11201,7353,238990,"Mobile Crane and Hoisting Service
Contractors--NOC--All Operations",9534,7219,657,9530,9530,9534,657,9529
"Contractors Equipment--Cranes, Derricks,
Power Shovels and Equipment Incidental
Thereto--Rented to Others without Operators",11202,7353,532412,"Contractors Equipment--Cranes, Derricks,
Power Shovels and Equipment Incidental
Thereto--Rented to Others without Operators
(CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment--Earth Moving
Equipment Other Than Cranes, Derricks and
Power Shovels--Rented to Others with Operators",11205,7353,532412,"Contractors Equipment--Earth Moving
Equipment Other Than Cranes, Derricks and
Power Shovels--Rented to Others with
Operators (CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment--Earth Moving
Equipment Other Than Cranes, Derricks and
Power Shovels--Rented to Others without
Operators",11206,7353,532412,"Contractors Equipment--Earth Moving
Equipment Other Than Cranes, Derricks and
Power Shovels--Rented to Others without
Operators (CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment--Excluding Automobiles--
Rented to Others with Operators",11207,7353,532412,"Contractors Equipment--NOC Excluding
Autos--Rented to Others with Operators
(CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment--Excluding Automobiles--
Rented to Others without Operators",11208,7353,532412,Contractors Equipment Rental,8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment--Hod or Material
Platform Hoists and Equipment Incidental
Thereto--Rented to Others with Operators",11209,7353,532412,"Contractors Equipment--Hod or Material
Platform Hoists and Equipment Incidental
Thereto--Rented to Others with Operators
(CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment--Hod or Material
Platform Hoists and Equipment Incidental
Thereto--Rented to Others without Operators",11210,7353,532412,"Contractors Equipment--Hod or Material
Platform Hoists and Equipment Incidental
Thereto--Rented to Others without Operators
(CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment--Ladders, Scaffolds,
Scaffolding, Sidewalk Bridges, Towers and
Equipment Incidental Thereto--Rented to Others",11211,7353,532412,"Contractors Equipment--Ladders, Scaffolds,
Scaffolding, Sidewalk Bridges, Towers and
Equipment Incidental Thereto--Rented to
Others (CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment--Scaffolds, Sidewalk
Bridges, Hod or Material Hoists, Towers--Rented
to Others--Installation, Repair or Removal
Operations Only",11212,7353,532412,Contractors Machinery Dealer and Drivers,8107,8028,814,8107,8107,8107,814,8107
FastComp.com 23 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
"Contractors Equipment--Steam Boilers,
Compressors, Air Pressure Tanks, Pneumatic
Tools and Equipment Incidental Thereto--Rented
to Others with Operators",11213,7353,532412,"Contractors Equipment--Steam Boilers,
Compressors, Air Pressure Tanks, Pneumatic
Tools and Equipment Incidental Thereto--
Rented to Others with Operators (CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Equipment--Steam Boilers,
Compressors, Air Pressure Tanks, Pneumatic
Tools and Equipment Incidental Thereto--Rented
to Others without Operators",11214,7353,532412,"Contractors Equipment--Steam Boilers,
Compressors, Air Pressure Tanks, Pneumatic
Tools and Equipment Incidental Thereto--
Rented to Others without Operators (CGL)",8107,8028,814,8107,8107,8107,814,8107
"Contractors Permanent Yards--Maintenance or
Storage of Equipment or Material",91590,"4226
4226","493190
493190","Concrete Forms--Reconditioning and Leasing
Construction or Erection Permanent Yard","8227
8227","8227
8227","N/A
N/A","8227
8227","8227
8227","8227
8227","N/A
N/A","8234
8227"
"Contractors--Executive Supervisors or Executive
Superintendents",91580,N/A,N/A,"Contractor--Project Manager, Construction
Executive, Construction Manager or
Construction Superintendent",5606,5606,N/A,5606,5606,5606,N/A,5606
"Contractors--Subcontracted Work--in
Connection with Bridge, Tunnel, Elevated Street
or Highway Construction, Reconstruction or
Repair",91588,1623,237310,"Contractors--Subcontracted Work--in
Connection with Bridge, Tunnel, Elevated
Street or Highway Construction,
Reconstruction or Repair",5222,5222,654,5222,5222,5222,654,5203
Contractors--Subcontracted Work--in,91582,N/A,236220,Contractors--Subcontracted Work--in,5403,5403,651,5403,5403,5403,651,5403
"Connection with Building Construction,",,,,"Connection with Building Construction,",,,,,,,,
"Reconstruction, Repair or Erection--Apartment",,,,"Reconstruction, Repair or Erection--",,,,,,,,
or Office Buildings over Four Stories,,,,Apartment or Office Buildings over 4 Stories,,,,,,,,
"Contractors--Subcontracted Work--in
Connection with Building Construction,
Reconstruction, Repair or Erection--One- or Two-
Family Dwellings",91583,1521,236118,"Contractors--Subcontracted Work--in
Connection with Building Construction,
Reconstruction, Repair or Erection--One- or
Two-Family Dwellings",5645,5645,652,5645,5645,5645,652,5403
"Contractors--Subcontracted Work--in
Connection with Construction, Reconstruction,
Erection or Repair--Not Buildings",91581,1771,238110,"Contractors--Subcontracted Work--in
Connection with Construction,
Reconstruction, Repair or Erection--Not
Buildings",5213,5213,654,5213,5213,5213,654,5213
"Contractors--Subcontracted Work--in
Connection with Construction, Reconstruction,
Repair or Erection of Buildings",91585,N/A,N/A,"Contractors--Subcontracted Work--in
Connection with Construction,
Reconstruction, Repair or Erection of
Buildings",5403,5403,651,5403,5403,5403,651,5403
"Contractors--Subcontracted Work--in
Connection with Construction, Reconstruction,
Repair or Erection of Buildings--for Industrial Use",91584,N/A,236210,"Contractors--Subcontracted Work--in
Connection with Construction,
Reconstruction, Repair or Erection of
Buildings--for Industrial Use",5403,5403,651,5403,5403,5403,651,5403
"Contractors--Subcontracted Work--in
Connection with Oil and Gas Field Construction,
Reconstruction or Repair",91586,1623,237120,"Contractors--Subcontracted Work--in
Connection with Oil and Gas Field
Construction, Reconstruction or Repair",6233,6233,609,6319,6233,6233,609,6233
"Contractors--Subcontracted Work--in
Connection with Pipeline (Other Than Oil or
Gas) or Communication or Power Line
Construction, Reconstruction or Repair",91587,1623,237110,"Water and Sewer Line and Related Structures
Construction (NAICS)",6319,6315,617,6319,6319,6319,617,6319
"Contractors--Subcontracted Work--in
Connection with Street or Highway Construction
or Repair, Not Elevated",91589,1611,237310,"Contractors--Subcontracted Work--in
Connection with Street or Highway
Construction or Repair, Not Elevated",5506,5506,601,5506,5500,5506,601,5506
"Contractors--Subcontracted Work--Other Than
Construction-Related Work",91591,N/A,N/A,"Contractors--Subcontracted Work--Other
Than Construction-Related Work",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Conventions (Sponsor's Risk Only)--Not-For-
Profit Only",41673,7389,561920,"Conventions (Sponsor's Risk Only)
(Nonprofit)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FastComp.com 24 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
"Conventions (Sponsor's Risk Only)--Other Than
Not-For-Profit",41672,7389,561920,Conventions (Sponsor's Risk Only),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Convents or Monasteries,41680,8661,813110,Convents or Monasteries,8868,8840,963,8868,8840,8840,963,8868
Copying and Duplicating Services--Retail,11222,"7334
7334","561439
561439","Photocopy Shop (NY)
Quick Printing--Copying or Duplicating
Service--All Employees","8015
8015","8019
8019","932
932","8015
8015","8017
8017","8016
8012","932
932","8017
8017"
"Cosmetic, Hair or Skin Preparation Stores",11234,5999,446120,"Cosmetic, Hair or Skin Preparation Stores
(CGL)",8017,8017,928,8017,8017,8017,928,8017
Cosmetics Mfg.,51970,2844,325620,Cosmetics Mfg.,4611,4623,571,4611,4611,4611,571,4611
,,2393,314911,Bag or Sack Mfg.--Cloth,2501,2501,166,2501,2578,2578,166,2578
,,2393,314911,Bag Renovating,2501,2501,166,2501,2575,2578,166,2578
"Cotton Batting, Wadding or Waste Mfg.",51982,2299,314999,"Cotton Batting, Wadding or Waste Mfg.",2211,2211,130,2380,2211,2211,130,2211
,,2393,314911,Sack or Bag Mfg.--Cloth,2501,2576,166,2501,2578,2578,166,2578
,,2299,314999,Shoddy Mfg.,2211,2211,130,2380,2211,2211,130,2211
Cotton Compressing,51985,4221,493130,Cotton Compressing,400,400,924,N/A,2211,N/A,924,8295
Cotton Gin Operations,51986,724,115111,Cotton Gin Operation,401,401,132,N/A,N/A,N/A,132,401
"Cotton Gin Operations--Other Than Those
Performed for a Fee Per Bale",41679,724,115111,"Cotton Gin Operations--Other Than Those
Performed for a Fee Per Bale",401,401,132,N/A,N/A,N/A,132,401
Cotton or Wool Merchants,11248,"5159
5159
5159","424590
424590
424590","Cotton Merchant
Cotton Storage
Wool Merchant","8103
8103
8103","400
8292
8292","924
813
924","8018
8018
8018","8018
8103
8103","8103
8292
8103","924
813
924","8295
8295
8215"
Crematories--Not-For-Profit Only,41697,7261,812220,Crematories (Nonprofit),9620,9220,997,9620,9620,9620,997,9620
Crematories--Other Than Not-For-Profit,41696,7261,812220,Crematory Operation,9620,9220,997,9620,9620,9620,997,9620
Crop Spraying--by Contractors,91606,"721
721","115112
115112","Aircraft Operations--Agricultural--All Other
Employees (CA)
Aviation--Aerial Application, Seeding, Herding
or Scintillometer Surveying--Flying Crew","7403
7420","7410
7409","7428
7424","7423
7422","7428
7427","7403
7422","7428
7424","7423
7418"
Cutlery (Not Powered) and Flatware Mfg.,51999,3421,332211,Cutlery Mfg. NOC,3122,3152,441,3113,3122,3122,441,3113
Dairy Farms,N/A,241,112120,Farm: Dairy,36,36,36,129,84,6,36,83
,,2021,311512,Butter Mfg.,2070,2063,109,2070,2070,2070,109,2068
,,2022,311513,Cheese Mfg.,2070,2063,109,2070,2070,2070,109,2068
Dairy Products Mfg.,52002,2023,311514,Condensed Milk Mfg.,2065,2063,109,2065,2070,2065,109,2068
,,2024,311520,Ice Cream Mfg.,2039,2063,110,2065,2039,2039,110,2040
,,2023,311514,Malted Milk Mfg.,2065,2063,109,2065,2070,2065,109,2068
,,2023,311514,Milk Products Mfg. NOC,2065,2063,109,2065,2070,2065,109,2068
"Dairy Products or Butter and Egg Stores--Not-
For-Profit Only",11259,5451,445299,"Dairy Products or Butter and Egg Stores
(Nonprofit) (CGL)",8006,8006,917,8006,8006,8006,917,8006
"Dairy Products or Butter and Egg Stores--Other
Than Not-For-Profit",11258,5451,445299,Store: Dairy Products--Retail,8006,8006,917,8006,8006,8006,917,8006
Dam or Reservoir Construction,91618,"1629
1629","238910
237990","Dam or Lock Construction: Earth Moving or
Placing--All Operations
Dam or Lock Construction--Concrete Work--
All Operations","6018
6017","6011
5207","609
654","6217
5213","6217
6017","6018
6017","609
654","6045
5213"
FastComp.com 25 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,,DE WC,,MI WC,NJ WC,NY WC,PA WC,TX WC
"Dam, Levee or Dike--Existence Hazard Only",41700,N/A,N/A,"Dam, Levee or Dike--Existence Hazard Only",N/A,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A
"Dance Halls, Ballrooms or Discotheques--Not-
For-Profit Only",11274,7911,713990,"Dance Halls, Ballrooms or Discos (Nonprofit)
(CGL)",9084,,9079,,968,9058,9079,9074,968,9080
"Dance Halls, Ballrooms or Discotheques--Other
Than Not-For-Profit",11273,7911,713990,"Dance Halls, Ballrooms or Discos (CGL)",9084,,9079,,968,9058,9079,9074,968,9080
Day Care Centers--Not-For-Profit Only,41716,8351,624410,Day Care Centers (Nonprofit),8869,,9059,,891,8869,9106,9101,891,9101
Day Care Centers--Other Than Not-For-Profit,41715,"8351
8351
8351","624410
624410
624410","Child Day Camp: Professional Employees
and Clerical, Salespersons
Child Day Care Center: All Other Employees
Child Day Care Center: Professional
Employees and Clerical, Salespersons","8869
8869
8869",,"9059
9059
9059",,"978
891
891","8868
8869
8868","8868
9106
8868","8868
9101
8868","978
891
891","8868
9101
8868"
Debris Removal--Construction Site,91629,4212,562119,Cleaner--Debris Removal,5610,,N/A,,N/A,5610,5610,5610,N/A,9014
Delicatessens,11288,5812,722213,Store: Delicatessen--Retail,8006,,8006,,917,8006,8006,8006,917,8006
Dental Laboratories,12014,8072,339116,Dental Laboratory,4692,,4692,,489,4692,4692,4692,489,4692
Department or Discount Stores,12356,"5311
5311
Var.","452111
452112
452910","Store: Department--Retail
Store: Department--Retail (Discount)
Warehouse Clubs and Supercenters (NAICS)","8039
8039
8039",,"8039
8039
8039",,"914
914
914","8039
8039
8039","8039
8039
8039","8039
8039
8039","914
914
914","8039
8039
8039"
Detective or Investigative Agencies--Private,91636,"7381
7381
8744","561611
561612
561210","Detective or Investigative Agency
Detective or Patrol Agency
Facilities Support Services (NAICS)","7720
7720
7720",,"7721
7721
7721",,"904
954
904","7720
7720
7720","7723
7723
7723","7723
7723
7723","904
954
904","7720
7720
7720"
Detergent Mfg.--Household,52075,2841,325611,Synthetic Detergent Mfg. (Household),4720,,4720,,571,4720,4720,4720,571,4720
Detergent Mfg.--Other Than Household,52076,2841,325611,Synthetic Detergent Mfg.,4720,,4720,,571,4720,4720,4720,571,4720
Dextrine Mfg.,52109,"2046
2046
2046","311221
311221
311221","Corn Products Mfg.
Dextrine Mfg.
Starch Mfg.","4703
4703
4703",,"6504
6504
6504",,"107
107
107","6504
6504
6504","4703
4703
4703","6504
6504
6504","103
103
103","4703
4703
4703"
Diagnostic Testing Laboratories,46112,8732,541711,Biomedical Research Laboratory (CA),4511,,4512,,955,4511,4572,4511,955,4511
Die Casting Mfg.,52137,"3364
3363","331522
331521","Die Casting Mfg.
Die Casting Mfg. (Aluminum)","1925
1925",,"1925
1925",,"429
429","1925
1925","1925
1925","1925
1925","429
429","3132
3132"
"Dike, Levee or Revetment Construction",91641,"1629
1629","237990
237990","Dike or Revetment Construction
Levee Construction--All Operations to
Completion","6005
6045",,"6361
6361",,"611
609","N/A
N/A","6005
6005","6005
6045","611
609","6045
6045"
Distillation or Extraction,52150,"2861
2861","325191
325191","Creosote Mfg.
Distillation--Wood","1472
1472",,"1463
1463",,"551
551","1463
1463","1463
1463","1470
1470","551
551","1472
1472"
Distributors--Food or Drink,12361,"5145
5144","424450
424440","Confectionery Merchant Wholesalers
Egg Dealer--Wholesale","8018
8018",,"8018
8018",,"911
924","8018
8018","8018
8018","8018
8018","911
924","8034
8034"
Distributors--No Food or Drink,12362,"5199
5198
5199
5131","424990
424950
424990
424310","Distributing Companies
Paint Dealer--Wholesale (DE, PA)
Sawdust Dealer
Store: Dry Goods--Wholesale","7380
8018
8018
8032",Incl,"8065
8018
8032",Incl,"926
855
916","7380
8018
8018
8032","7380
8018
7380
8032","7380
8018
8018
8032","Incl
926
855
916","7380
8018
8018
8032"
FastComp.com 26 (800 ) 476-2948,,,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,"5063
5139
5199
5198","423610
424340
424990
424950","Store: Lighting Fixtures--Wholesale (CA)
Store: Shoe--Wholesale
Store: Wholesale NOC
Wallpaper Dealer--Wholesale (DE, PA)","8018
8032
8018
8018","8063
8032
8018
8065","886
916
924
924","8018
8032
8018
8018","8018
8032
8018
8018","8018
8032
8018
8018","886
916
924
924","8018
8032
8018
8018"
,,N/A,425110,Business to Business Electronic Markets,8018,8018,924,8018,8018,8018,924,8018
,,,,(NAICS),,,,,,,,
,,5048,423460,Ophthalmic Goods Merchant Wholesalers,8013,8013,920,8013,8013,8013,920,8013
,,,,(NAICS),,,,,,,,
Distributors--No Food or Drink NOC,12362,5049,423490,Professional Equipment and Supplies,8018,8018,924,8018,8018,8018,924,8018
,,,,Merchant Wholesalers NOC (NAICS),,,,,,,,
,,5112,424120,Stationery and Office Supplies Merchant,8018,8018,924,8018,8018,8018,924,8018
,,,,Wholesalers (NAICS),,,,,,,,
,,Var.,425120,Wholesale Trade Agents and Brokers,8018,8018,924,8018,8018,8018,924,8018
,,,,(NAICS),,,,,,,,
,,4789,488999,Diving--Marine--Coverage under Admiralty,7394,N/A,7394,7394,7394,7394,7394,7016
,,,,Law: Program I,,,,,,,,
Diving--Marine,91666,4789,488999,Diving--Marine--Coverage under Admiralty,7395,N/A,7395,7395,7395,7395,7395,7024
,,,,Law: Program II--State Act Benefits,,,,,,,,
,,4789,488999,Diving--Marine--Coverage under Admiralty,7398,N/A,7398,7398,7395,7398,7398,7047
,,,,Law: Program II--USLandHW Act Benefits,,,,,,,,
"Dock Operations--Coal, Grain or Ore",91722,"4491
4491","488310
488310","Coal Dock Operation and Stevedoring (F
Code)
Ore Dock Operation and Stevedoring (F
Code)","7313
7313","N/A
N/A","7313
7313","7313
7313","7309
7309","7313
7313","7313
7313","7313
7313"
Door or Window Mfg.--Other Than Wood,52134,"3442
3442","332321
332321","Door, Door Frame or Sash Mfg.--Wood--Metal
Covered
Jalousie or Jalousie Screen Mfg.","3076
3076","3060
3076","454
456","3066
3076","3060
3076","3060
3076","454
456","3066
3066"
Door or Window Mfg.--Wood,52315,"2439
2431","321213
321911","Laminated Wood Building Beams and
Columns Mfg.
Sash, Door or Assembled Millwork Mfg.--
Wood","2802
2802","2812
2806","305
305","2802
2802","2802
2737","2802
2737","305
305","2802
2881"
,,1751,238130,Door Installation--Overhead,3724,5108,675,3724,3724,3724,675,3724
,,1751,238130,Door Installation--Screened--Metal or Wood,5645,5645,651,5645,5645,5645,651,5403
,,1751,238130,"Door, Door Frame or Sash Erection--Metal or",5102,5107,658,5102,5103,5102,658,5102
,,,,Metal Covered,,,,,,,,
"Door, Window or Assembled Millwork--",91746,1751,238120,"Iron or Steel Erection: Door, Door Frame or",5102,5107,658,5102,5103,5102,658,5102
Installation--Metal,,,,Sash Erection--Metal or Metal Covered,,,,,,,,
,,1751,238130,Jalousie or Jalousie Screen Erection,5645,5645,651,5645,5645,5645,651,5403
,,1751,238130,Storm Door or Storm Sash Installation--Wood,5645,5645,651,5645,5645,5428,651,5403
,,,,or Metal,,,,,,,,
,,1751,238130,Window Screen or Screen Door Installation--,5645,5645,651,2790,5645,5645,651,5403
,,,,Metal or Wood,,,,,,,,
Draftsmen,91805,7389,541340,Drafting Employees,8603,8603,955,8603,8603,8603,955,8601
Drawbridges--Existence Hazard Only,43007,N/A,N/A,Drawbridges--Existence Hazard Only,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dredging,92055,"1629
1629","237990
237990","Dredging for Materials on Nonnavigable
Waters
Dredging--All Types: Coverage under
Admiralty Law: Program I","4000
7333","4000
N/A","55
7333","4000
7333","4000
7333","4000
7333","55
7333","4000
7046"
FastComp.com 27 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,"1629
1629","237990
237990","Dredging--All Types: Coverage under
Admiralty Law: Program II--State Act Benefits
Dredging--All Types: Coverage under
Admiralty Law: Program II--USLandHW Act
Benefits","7335
7337","N/A
N/A","7335
7337","7335
7337","7335
7335","7335
7337","7335
7337","7098
7099"
Dredging--Gold--Endless Bucket or Ladder Type,92053,1081,213114,"Dredging: Gold--Endless Bucket or Ladder
Type",1165,1122,N/A,1164,N/A,1624,N/A,1165
Dredging--Gold--Floating Dragline Type,92054,1081,213114,Dredging--Gold--Floating Dragline Type,1165,1122,N/A,1164,N/A,1624,N/A,1165
,,1241,213113,Drilling NOC (NAICS--Support Activities for,6204,6204,607,6204,6204,6204,607,6204
,,,,Coal Mining),,,,,,,,
Drilling--Other Than Water,92101,1081,213114,Drilling NOC (NAICS--Support Activities for,6204,6204,607,6204,6204,6204,607,6204
,,,,Metal Mining),,,,,,,,
,,1481,213115,Drilling NOC (NAICS--Support Activities for,6204,6204,607,6204,6204,6204,607,6204
,,,,Nonmetallic Minerals Except Fuels Mining),,,,,,,,
Drilling--Water,92102,1781,237110,Well Drilling--Water,6204,6204,607,6204,6204,6204,607,6204
"Driveway, Parking Area or Sidewalk--Paving or
Repaving",92215,1611,238110,"Paving or Repaving Floors, Driveways, Yards
or Sidewalks",5221,5201,608,5221,5200,5221,608,5220
Drug Distributors,12373,5122,424210,Store: Drug--Wholesale,8047,8018,924,8047,8047,8047,924,8047
Drug Mfg.--Biological Products,52341,"2834
2834
2834","325412
325412
325412","Antitoxin, Serum or Virus Mfg.
Serum, Antitoxin or Virus Mfg.
Virus, Antitoxin or Serum Mfg.","5951
5951
5951","5951
5951
5951","555
555
555","4825
4825
4825","5951
5951
5951","5951
5951
5951","555
555
555","4611
4611
4611"
"Drug, Medicine or Pharmaceutical Preparations
Mfg.--for Animal Use",52342,2834,325412,"Drug, Medicine or Pharmaceutical
Preparations Mfg.--for Animal Use",4825,4829,555,4825,4835,4825,555,4611
,,2834,325412,"Drug, Medicine or Pharmaceutical",4825,4829,555,4825,4835,4825,555,4611
,,,,Preparation Mfg.--Includes Mfg. of Ingredients,,,,,,,,
"Drug, Medicine or Pharmaceutical Preparations",52343,2834,325412,"Drug, Medicine or Pharmaceutical",4611,4611,555,4611,4611,4611,555,4611
Mfg.--Other Than for Animal Use,,,,"Preparation, Compounding or Blending--No",,,,,,,,
,,,,Mfg. of Ingredients,,,,,,,,
,,2835,325413,In-Vitro Diagnostic Substance Mfg. (NAICS),4825,4829,555,4825,4835,4825,555,4611
Drugstores,12375,5912,446110,Store: Drug--Retail,8045,8017,927,8045,8045,8017,927,8045
"Drugstores--No Table or Counter Service for
Beverage or Food",12374,5912,446110,"Drug Stores--No Table or Counter Service for
Beverage or Food (CGL)",8045,8017,927,8045,8045,8017,927,8045
Drums or Containers Mfg.--Metal,52401,3412,332439,Barrel or Drum Mfg.--Metal,3400,3400,454,3400,3045,3400,454,3066
Drums or Containers Mfg.--Plastic,52402,3089,326199,Drums or Containers Mfg.--Plastic,4484,4478,222,4484,4484,4475,222,4484
Dry Wall or Wallboard Installation,92338,"1742
1742","238310
238310","Sheetrock Installation--within Buildings
Wallboard Installation--within Buildings","5445
5445","5446
5446","645
645","5445
5445","5445
5445","5445
5445","645
645","5437
5437"
Dude Ranches,43117,7032,721214,Dude Ranches,9052,9050,973,9052,9052,9052,973,9052
Dwellings--Four-Family (Lessor's Risk Only),63013,6514,531110,Dwellings--Four-Family (Lessor's Risk Only),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dwellings--One-Family (Lessor's Risk Only),63010,6514,531110,Dwellings--One-Family (Lessor's Risk Only),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dwellings--Three-Family (Lessor's Risk Only),63012,6514,531110,Dwellings--Three-Family (Lessor's Risk Only),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dwellings--Two-Family (Lessor's Risk Only),63011,6514,531110,Dwellings--Two-Family (Lessor's Risk Only),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,N/A,221121,"Electric Light or Power Co. NOC (Electric
Bulk Power Transmission and Control)",7539,7539,755,7539,7539,7539,755,7539
FastComp.com,,28,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,4911,221122,Electric Light or Power Co. NOC--All,7539,7539,755,7539,7539,7539,755,7539
,,,,Employees (Electric Power Distribution),,,,,,,,
Electric Light or Power Companies,92445,4911,221119,Electric Light or Power Co. NOC--All,7539,7539,755,7539,7539,7542,755,7539
,,,,Employees (Meter Readers--NY),,,,,,,,
,,4911,221119,Electric Light or Power Cooperative--REA,7540,7539,755,7540,7540,7539,755,7539
,,,,Project Only--All Employees,,,,,,,,
,,4911,221112,Fossil Fuel Electric Power Generation,7539,7539,755,7539,7539,7539,755,7539
,,,,(NAICS),,,,,,,,
,,4911,221111,Hydroelectric Power Generation (NAICS),7539,7539,755,7539,7539,7539,755,7539
Electric Light or Power Line Construction,92446,"1623
1623","237130
237130","Electric Light or Power Line Construction
Floodlighting of Stadiums, Parks","7538
7538","7538
7538","656
656","7538
7538","7538
7538","7538
7538","656
656","7538
7538"
"Electric Light or Power Line Construction--Rural
Utilities Service Projects Only",92447,1629,237130,"Electric Light or Power Line Construction--
Rural Utilities Service Projects Only",7538,7538,656,7538,7538,7538,656,7538
,,7629,811211,Electrical Apparatus Installation,3724,3724,661,3724,3724,3724,661,3724
,,7629,811211,Electrical Apparatus Repair,3724,3724,661,3724,3724,3737,661,3724
,,3678,334417,Electrical Connector Mfg. (CA),3179,3568,473,3179,3179,3179,473,3179
"Electrical Apparatus--Installation, Servicing or",92451,1731,238210,Satellite Dish Installation: Auxiliary Wiring,5190,5190,661,5190,5190,5190,661,5190
Repair,,,,within Buildings,,,,,,,,
,,1796,238290,Satellite Dish Installation: Erection of Dish,3724,3724,675,3724,3724,3724,675,3724
,,,,and Auxiliary Equipment,,,,,,,,
,,1796,238990,Satellite Dish Installation--Installation of,5213,5213,654,5213,5213,5213,654,5213
,,,,Concrete Mounting Pad,,,,,,,,
,,1731,238210,"X-Ray Equipment--Installation, Service and",5191,5191,952,5191,5191,5191,952,5191
,,,,Repair,,,,,,,,
Electrical Equipment Distributors,12391,5063,423610,Electrical Equipment Distributors (CGL),8010,8018,926,8010,8010,8018,926,8018
"Electrical Equipment Mfg.--for Direct and Indirect
Application to the Body",52433,3634,335211,"Electric Housewares and Household Fan Mfg.
(NAICS)",3179,3179,473,3179,3179,3179,473,3179
,,3633,335224,Electric Appliance Mfg. NOC (CA) Laundry,3179,3570,456,3179,3179,3179,456,3179
Electrical Equipment Mfg.--Other Than for Direct,52432,3635,335212,Electric Appliance Mfg. NOC (CA) Vacuum,3179,3570,473,3179,3179,3179,473,3179
and Indirect Application to the Body,,,,Cleaner,,,,,,,,
,,3629,335999,Electrical Apparatus Mfg. NOC,3179,3179,473,3179,3179,3179,473,3179
Electrical Generating Machinery Mfg.,52435,3621,335312,Electrical Generating Machinery Mfg.,3643,3643,474,3643,3643,3643,474,3643
"Electrical Parts, Components or Accessories
Mfg.",52438,"3822
3643","334512
335931","Automatic Environment Control Mfg.
(Residential, Commercial and Appliance Use)
Electric Wire Harness Mfg. (CA)","3179
3681","3179
3651","473
473","3179
3681","3179
3681","3179
3681","473
473","3179
3681"
,,3621,335312,"Electric Motor Mfg. or Repair (CA, DE, PA)",3643,3569,477,3643,3643,3643,477,3643
,,3612,335311,Electric Power or Transmission Equipment,3643,3643,474,3643,3643,3643,474,3643
,,,,Mfg.,,,,,,,,
